size,min_val,max_val,time,resolution,stdev
3090,1,100000,186082.0,75.312,9941.623
3162,1,100000,184762.0,88.438,9522.806
3235,1,100000,184042.0,129.375,8247.676
3311,1,100000,185222.0,82.5,7607.791
3388,1,100000,184542.0,78.438,8476.559
3467,1,100000,184082.0,75.625,9157.495
3548,1,100000,185662.0,85.938,7400.448
3630,1,100000,187242.0,85.312,7105.715
3715,1,100000,186861.5,78.75,7723.37
3801,1,100000,187762.0,93.438,7717.281
3890,1,100000,188402.0,96.25,7063.402
3981,1,100000,188602.0,103.133,7297.158
4073,1,100000,188762.0,93.438,7558.715
4168,1,100000,190422.0,98.438,9058.996
4265,1,100000,182502.0,85.0,7837.927
4365,1,100000,183062.0,86.25,7730.272
4466,1,100000,183302.0,84.062,48028.283
4570,1,100000,183722.0,98.125,7242.539
4677,1,100000,183802.0,91.883,20875.557
4786,1,100000,184402.0,93.125,7610.907
4897,1,100000,190182.0,76.562,7872.611
5011,1,100000,191662.0,99.375,8101.438
5128,1,100000,192422.0,79.062,7131.511
5248,1,100000,192262.0,80.938,8015.765
5370,1,100000,191102.0,83.125,7458.09
5495,1,100000,193742.0,79.688,8612.994
5623,1,100000,192662.0,78.438,7565.469
5754,1,100000,192582.0,78.75,6942.659
5888,1,100000,193662.0,82.812,6229.216
6025,1,100000,196502.0,97.812,7888.599
6165,1,100000,195922.0,81.562,8390.924
6309,1,100000,198402.0,85.0,8980.409
6456,1,100000,190982.0,80.938,7809.091
6606,1,100000,199042.0,80.312,7407.963
6760,1,100000,199582.0,95.0,8315.17
6918,1,100000,200322.0,79.062,7689.688
7079,1,100000,199902.0,111.25,8420.189
7244,1,100000,200782.0,92.188,8154.211
7413,1,100000,201362.0,82.188,8077.297
7585,1,100000,200842.0,77.188,7851.123
7762,1,100000,202622.0,77.188,7733.272
7943,1,100000,204002.0,79.383,13817.307
8128,1,100000,197582.0,89.375,8045.848
8317,1,100000,198182.0,96.25,8127.706
8511,1,100000,205742.0,82.188,7705.969
8709,1,100000,206222.0,91.875,8432.529
8912,1,100000,207122.0,108.125,7690.49
9120,1,100000,208102.5,84.062,7156.458
9332,1,100000,209782.0,84.688,8320.87
