size,time,resolution
1.0,15340.0,88.75
2.0,19040.0,83.75
3.0,21640.0,81.25
4.0,21660.5,81.25
5.0,24500.0,82.5
6.0,23300.0,76.25
7.0,24240.0,80.0
8.0,25520.0,80.0
9.0,25800.5,80.0
10.0,25740.0,81.25
11.0,25360.0,80.0
12.0,25920.0,82.5
13.0,25300.5,82.5
14.0,26060.5,87.5
15.0,25780.5,80.0
16.0,26020.0,82.5
17.0,26300.0,83.75
18.0,26460.5,83.75
19.0,26420.0,78.75
20.0,26320.0,78.75
21.0,25840.5,82.5
22.0,26140.5,85.0
23.0,26120.5,81.25
24.0,26240.0,78.75
25.0,26560.5,82.5
26.0,26740.0,82.5
27.0,26480.0,86.28125
28.0,26441.0,78.75
29.0,26320.0,82.5
30.0,26360.0,78.75
31.0,26240.0,83.75
32.0,26240.5,80.0
33.0,26600.0,81.25
34.0,26620.0,83.75
35.0,26500.0,81.25
36.0,26760.0,91.25
37.0,26760.5,78.75
38.0,26580.5,83.75
39.0,26540.5,87.5
40.0,26620.0,83.75
41.0,26680.0,83.75
42.0,26800.0,91.25
43.0,26581.0,80.0
44.0,26520.0,81.25
45.0,26300.0,86.25
46.0,26660.0,91.28125
47.0,26660.5,86.25
48.0,26580.0,80.03125
49.0,26660.0,81.25
50.0,26660.5,77.5
51.0,26780.5,80.0
52.0,26800.5,82.5
53.0,26680.0,86.25
54.0,26760.0,82.5
55.0,26700.5,80.0
56.0,26721.0,82.5
57.0,26560.0,82.5
58.0,26720.5,83.75
59.0,26820.0,83.75
60.0,26880.5,85.0
61.0,26920.0,82.5
62.0,26840.5,82.5
63.0,26760.0,90.0
64.0,26880.0,81.28125
65.0,26881.0,82.5
66.0,26920.0,80.0
67.0,26780.0,86.25
68.0,27001.0,82.5
69.0,26760.5,80.0
70.0,26740.5,81.25
71.0,26881.0,92.5
72.0,26900.5,82.5
73.0,26800.0,81.25
74.0,26720.0,81.25
75.0,26900.0,88.75
76.0,26760.0,80.0
77.0,26800.0,82.5
78.0,26880.5,82.5
79.0,26840.0,90.0
80.0,26700.5,81.25
81.0,26900.5,83.75
82.0,26880.0,83.75
83.0,26900.0,82.5
84.0,26920.5,77.53125
85.0,26920.0,85.0
86.0,26880.5,83.75
87.0,26820.5,82.5
88.0,26920.5,80.0
89.0,26840.5,81.25
90.0,26921.0,81.25
91.0,27000.0,82.5
92.0,26961.0,85.0
93.0,26921.0,82.5
94.0,26880.5,78.75
95.0,26880.5,82.5
96.0,27000.5,86.25
97.0,26960.5,82.5
98.0,26840.5,76.25
99.0,27040.0,83.75
100.0,26860.5,86.25
101.0,26940.5,81.25
102.0,27040.5,80.0
103.0,27040.0,78.75
104.0,26961.0,81.25
105.0,27000.0,81.25
106.0,26940.5,87.5
107.0,26960.0,80.0
108.0,26960.5,83.75
109.0,27060.0,80.0
110.0,27120.0,87.5
111.0,27000.5,83.75
112.0,27040.0,81.25
113.0,26960.0,85.0
114.0,26980.0,82.5
115.0,26960.5,86.25
116.0,27000.0,82.5
117.0,27020.0,81.25
118.0,26920.0,83.75
119.0,27080.0,81.25
120.0,27060.5,88.75
121.0,27020.0,80.0
122.0,27080.0,81.25
123.0,27000.0,82.5
124.0,27140.5,85.0
125.0,27160.0,85.0
126.0,27160.0,76.25
127.0,27040.0,82.5
128.0,27020.5,80.0
129.0,27160.0,81.25
130.0,27080.0,86.25
131.0,27080.0,81.25
132.0,27060.5,86.25
133.0,27040.0,85.0
134.0,27000.5,83.75
135.0,26960.0,82.5
136.0,27000.5,83.75
137.0,27140.0,83.75
138.0,27060.5,81.25
139.0,27180.5,83.75
140.0,27100.0,85.0
141.0,27081.0,81.25
142.0,27040.0,78.75
143.0,27080.5,86.25
144.0,27080.5,82.5
145.0,27120.5,76.25
146.0,27200.0,81.25
147.0,27200.0,80.0
148.0,27080.5,77.5
149.0,27100.0,81.25
150.0,27060.5,82.5
151.0,27140.5,81.25
152.0,27120.0,87.5
153.0,27081.0,82.5
154.0,27200.5,78.75
155.0,27200.5,80.0
156.0,27140.5,81.25
157.0,27180.0,88.75
158.0,27160.5,82.5
159.0,27180.0,86.25
160.0,27140.5,81.25
161.0,27160.5,81.25
162.0,27180.0,86.25
163.0,27120.0,85.0
164.0,27120.0,78.75
165.0,27160.5,77.5
166.0,27100.5,83.75
167.0,27240.5,90.0
168.0,27160.0,82.5
169.0,27080.5,82.5
170.0,27140.5,80.0
171.0,27160.5,85.0
172.0,27260.0,80.0
173.0,27120.5,82.5
174.0,27160.0,83.75
175.0,27160.0,86.25
176.0,27120.5,85.0
177.0,27180.0,81.25
178.0,27201.0,87.5
179.0,27220.5,81.25
180.0,27220.0,85.0
181.0,27260.5,83.75
182.0,27240.0,78.75
183.0,27120.0,83.75
184.0,27240.5,82.5
185.0,27201.0,86.28125
186.0,27080.5,80.0
187.0,27200.5,75.0
188.0,27240.5,80.0
189.0,27221.0,83.75
190.0,27220.0,80.0
191.0,27201.0,81.25
192.0,27220.5,82.53125
193.0,27180.0,80.0
194.0,27280.0,80.0
195.0,27220.5,81.25
196.0,27280.0,82.5
197.0,27300.5,81.25
198.0,27280.0,86.25
199.0,27320.0,78.75
200.0,27220.5,83.75
201.0,27300.0,81.25
202.0,27240.0,80.0
203.0,27241.0,78.75
204.0,27200.5,80.0
