size,time,resolution
246.0,20660.0,237.53125
247.0,20600.0,83.75
248.0,20680.5,76.25
249.0,20640.0,77.5
250.0,20641.0,73.75
251.0,20720.0,76.25
252.0,20640.0,82.5
253.0,20600.0,81.25
254.0,20640.0,80.0
255.0,20640.0,77.5
256.0,20680.0,78.75
257.0,20680.0,73.75
258.0,20720.0,78.75
259.0,20680.0,75.0
260.0,20720.0,80.0
261.0,20640.5,80.0
262.0,20620.5,77.5
263.0,20640.0,81.25
264.0,20680.5,73.75
265.0,20720.0,78.75
266.0,20740.5,76.25
267.0,20640.0,75.0
268.0,20680.0,82.5
269.0,20720.0,77.53125
270.0,20680.0,81.25
271.0,20700.5,77.5
272.0,20720.0,77.5
273.0,20720.0,78.75
274.0,20680.5,76.25
275.0,20680.0,75.0
276.0,20700.0,78.75
277.0,20720.0,81.25
278.0,20700.5,80.0
279.0,20720.5,80.0
280.0,20720.0,81.25
281.0,20760.0,80.0
282.0,20740.0,78.75
283.0,20680.0,80.0
284.0,20720.0,83.75
285.0,20720.0,80.0
286.0,20720.0,90.0
287.0,20681.0,77.5
288.0,20780.0,81.25
289.0,20760.0,83.75
290.0,20760.0,81.25
291.0,20800.0,83.75
292.0,20680.0,76.25
293.0,20720.0,78.75
294.0,20780.5,78.75
295.0,20720.5,78.75
296.0,20720.5,80.0
297.0,20760.0,78.75
298.0,20800.0,78.75
299.0,20761.0,585.0
300.0,20720.0,81.28125
301.0,20780.0,77.5
302.0,20780.5,77.5
303.0,20760.5,81.25
304.0,20800.0,78.75
305.0,20760.0,78.75
306.0,20760.5,80.0
307.0,20721.0,86.25
308.0,20800.0,85.0
309.0,20760.0,81.25
310.0,20820.0,77.5
311.0,20800.0,81.25
312.0,20840.0,77.5
313.0,20760.0,78.75
314.0,20800.0,78.75
315.0,20760.0,77.5
316.0,20740.5,83.75
317.0,20800.5,80.0
318.0,20740.5,78.75
319.0,20760.0,78.75
320.0,20880.0,80.0
321.0,20800.5,80.0
322.0,20761.0,78.75
323.0,20800.0,78.75
324.0,20800.0,80.0
325.0,20760.0,77.5
326.0,20760.0,76.25
327.0,20761.0,77.5
328.0,20860.0,80.0
329.0,20840.0,82.5
330.0,20800.0,81.25
331.0,20840.0,82.5
332.0,20800.0,75.0
333.0,20860.5,80.0
334.0,20800.5,77.5
335.0,20800.0,76.25
336.0,20840.0,81.25
337.0,20840.0,80.0
338.0,20880.0,78.75
339.0,20840.0,82.5
340.0,20840.5,77.5
341.0,20841.0,78.75
342.0,20800.0,81.25
343.0,20880.5,81.25
344.0,20880.0,81.25
345.0,20840.5,81.25
346.0,20880.0,81.25
347.0,20880.0,77.5
348.0,20840.5,78.75
349.0,20840.0,77.5
350.0,20880.5,80.0
351.0,20840.5,73.75
352.0,20900.5,81.25
353.0,20880.0,82.5
354.0,20860.0,80.0
355.0,20880.0,77.5
356.0,20840.5,80.0
357.0,20840.0,78.75
358.0,20920.0,85.0
359.0,20920.0,81.25
360.0,20920.0,658.75
361.0,20880.0,75.0
362.0,20840.0,78.78125
363.0,20940.5,81.25
364.0,20880.5,77.5
365.0,20880.0,76.25
366.0,20880.5,78.75
367.0,20880.0,77.5
368.0,20880.0,78.75
369.0,20940.5,81.25
370.0,20920.0,81.25
371.0,20920.0,77.5
372.0,20880.0,77.5
373.0,20940.5,86.25
374.0,20920.5,85.0
375.0,20900.5,77.5
376.0,20940.5,83.75
377.0,20880.5,76.25
378.0,20881.0,77.5
379.0,20920.0,83.75
380.0,20900.0,83.75
381.0,20921.0,83.75
382.0,20940.5,85.0
383.0,20960.0,78.75
384.0,20920.0,81.25
385.0,21000.0,83.75
386.0,20920.0,76.25
387.0,21000.0,83.75
388.0,21000.0,80.0
389.0,20960.0,77.5
390.0,20920.5,81.25
391.0,20960.0,81.25
392.0,20920.0,77.5
393.0,20920.0,71.25
394.0,20960.5,81.25
395.0,20920.5,80.0
396.0,20920.0,76.25
397.0,20960.0,77.5
398.0,20960.5,77.5
399.0,20960.0,78.75
400.0,20920.0,76.25
401.0,21020.5,75.0
402.0,21000.0,80.0
403.0,20920.0,81.25
404.0,20960.0,81.25
405.0,20960.0,77.5
406.0,20980.5,85.0
407.0,20960.0,85.0
408.0,20960.0,82.5
409.0,20940.5,80.0
410.0,21020.5,80.0
411.0,20960.0,81.25
412.0,20960.0,78.75
413.0,20961.0,77.5
414.0,21000.0,78.75
415.0,20960.5,87.5
416.0,21040.0,82.5
417.0,21020.5,81.25
418.0,21000.0,83.75
419.0,21000.0,85.0
420.0,21000.5,82.5
421.0,21040.0,75.0
422.0,21040.0,76.25
423.0,21000.0,83.75
424.0,21000.5,85.0
425.0,21060.5,77.5
426.0,21000.0,82.5
427.0,21020.0,78.75
428.0,21040.0,81.25
429.0,21040.5,81.25
430.0,21080.5,81.25
431.0,21001.0,87.5
432.0,21040.5,77.5
433.0,21040.0,76.25
434.0,21040.0,80.0
435.0,21040.0,80.0
436.0,21040.5,77.5
437.0,21000.0,77.5
438.0,21040.0,80.0
439.0,21120.0,82.53125
440.0,21120.0,81.25
441.0,21120.0,78.75
442.0,21121.0,83.75
443.0,21140.0,82.5
444.0,21160.0,83.75
445.0,21121.0,80.0
446.0,21120.5,75.0
447.0,21120.5,81.25
448.0,21120.0,85.0
449.0,21200.0,78.75
450.0,21140.5,78.75
451.0,21120.5,77.5
452.0,21140.5,78.75
453.0,21120.0,85.0
454.0,21120.0,80.0
455.0,21160.5,81.25
456.0,21121.0,77.5
457.0,21120.0,78.75
458.0,21160.0,77.5
459.0,21160.5,80.0
460.0,21160.0,81.25
461.0,21120.0,81.25
462.0,21160.5,81.25
463.0,21220.0,82.5
464.0,21160.5,77.5
465.0,21161.0,85.0
466.0,21200.0,85.0
467.0,21200.0,78.75
468.0,21200.0,82.5
469.0,21180.5,81.25
470.0,21160.5,82.5
471.0,21200.0,78.75
472.0,21140.5,76.25
473.0,21200.0,82.5
474.0,21200.0,80.0
475.0,21200.0,81.25
476.0,21200.0,82.5
477.0,21180.5,80.0
478.0,21160.0,80.0
479.0,21200.0,82.5
480.0,21220.5,77.5
481.0,21180.5,83.78125
482.0,21240.0,80.0
483.0,21200.0,76.25
484.0,21200.0,80.0
485.0,21200.0,77.5
486.0,21220.5,78.75
487.0,21260.5,81.25
488.0,21240.0,81.25
489.0,21220.0,78.75
490.0,21240.0,78.75
491.0,21240.0,77.5
492.0,21260.0,87.5
493.0,21240.0,81.25
494.0,21240.0,81.25
495.0,21240.0,81.25
496.0,21200.0,77.5
497.0,21280.5,76.25
498.0,21201.0,80.0
499.0,21240.0,91.25
500.0,21240.0,78.75
501.0,21320.0,80.0
502.0,21240.0,78.75
503.0,21241.0,76.25
504.0,21241.0,82.5
505.0,21200.0,78.75
506.0,21320.0,76.25
507.0,21260.5,85.0
508.0,21240.5,81.25
509.0,21240.0,82.5
510.0,21240.0,77.5
511.0,21241.0,75.0
512.0,21240.0,77.5
513.0,21360.0,81.25
514.0,21360.0,75.0
515.0,21280.0,77.5
516.0,21240.5,80.0
517.0,21260.0,80.0
518.0,21260.0,77.5
519.0,21280.0,82.5
520.0,21320.0,85.03125
521.0,21260.5,80.0
522.0,21320.0,76.25
523.0,21280.0,77.5
524.0,21280.0,80.0
525.0,21300.5,77.5
526.0,21320.0,76.25
527.0,21280.0,78.75
528.0,21280.0,82.5
529.0,21280.0,77.5
530.0,21300.5,76.25
531.0,21320.0,78.75
532.0,21400.0,80.0
533.0,21280.5,81.25
534.0,21360.5,78.75
535.0,21360.0,82.5
536.0,21320.0,73.75
537.0,21320.0,75.0
538.0,21320.0,75.0
539.0,21360.0,86.25
540.0,21320.5,77.53125
541.0,21320.5,80.0
542.0,21360.0,81.25
543.0,21360.0,81.25
544.0,21361.0,80.0
545.0,21360.0,81.25
546.0,21360.0,76.25
547.0,21360.5,77.5
548.0,21340.0,75.0
549.0,21320.0,78.75
550.0,21360.0,77.5
551.0,21360.0,82.5
552.0,21340.5,78.75
553.0,21420.5,78.75
554.0,21400.0,81.25
555.0,21360.0,77.5
556.0,21360.0,83.75
557.0,21360.0,82.5
558.0,21360.0,78.75
559.0,21360.0,78.75
560.0,21380.5,73.75
561.0,21380.0,82.5
562.0,21380.0,85.0
563.0,21360.5,85.0
564.0,21400.0,78.75
565.0,21360.0,80.0
566.0,21440.0,77.5
567.0,21440.0,81.25
568.0,21361.0,78.75
569.0,21400.0,80.0
570.0,21400.0,75.0
571.0,21400.0,81.25
572.0,21400.0,76.25
573.0,21400.0,80.0
574.0,21400.0,80.0
575.0,21420.0,75.0
576.0,21440.0,77.5
577.0,21400.5,80.0
578.0,21400.0,80.0
579.0,21360.0,81.25
580.0,21440.0,78.75
581.0,21361.0,82.5
582.0,21401.0,82.5
583.0,21440.0,75.0
584.0,21400.0,76.25
585.0,21400.0,81.25
586.0,21440.0,81.25
587.0,21401.0,81.25
588.0,21420.5,78.75
589.0,21440.0,78.75
590.0,21401.0,78.75
591.0,21440.0,260.0
592.0,21440.0,77.5
593.0,21460.0,78.75
594.0,21440.0,81.25
595.0,21480.0,83.75
596.0,21440.0,82.5
597.0,21440.0,78.75
598.0,21520.5,82.5
599.0,21440.0,78.75
600.0,21440.0,78.75
601.0,21481.0,76.25
602.0,21500.5,82.5
603.0,21440.0,83.78125
604.0,21440.5,77.5
605.0,21420.5,81.25
606.0,21480.0,75.0
607.0,21460.5,82.5
608.0,21440.0,82.5
609.0,21480.5,80.0
610.0,21460.5,77.5
611.0,21480.0,76.25
612.0,21480.0,78.75
613.0,21540.0,77.5
614.0,21520.0,78.75
615.0,21500.0,80.0
616.0,21540.5,77.5
617.0,21520.0,80.0
618.0,21441.0,81.25
619.0,21580.5,82.5
620.0,21500.0,76.25
621.0,21520.0,247.5
622.0,21520.0,78.75
623.0,21520.0,77.5
624.0,21520.0,78.75
625.0,21500.5,80.0
626.0,21520.0,77.5
627.0,21481.0,80.0
628.0,21480.0,83.75
629.0,21460.5,81.25
630.0,21480.0,81.25
631.0,21520.0,77.5
632.0,21560.0,81.25
633.0,21520.0,83.75
634.0,21520.0,76.25
635.0,21520.5,73.75
636.0,21481.0,78.75
637.0,21560.0,78.75
638.0,21520.0,81.25
639.0,21480.0,90.0
640.0,21600.0,75.0
641.0,21520.0,80.0
642.0,21580.5,76.25
643.0,21560.0,77.5
644.0,21520.0,78.75
645.0,21560.0,75.0
646.0,21560.0,82.5
647.0,21560.0,76.25
648.0,21560.0,77.5
649.0,21601.0,73.78125
650.0,21560.0,75.03125
651.0,21560.0,80.0
652.0,21520.5,86.25
653.0,21600.0,78.75
654.0,21521.0,83.75
655.0,21640.0,82.53125
656.0,21540.5,76.25
657.0,21560.0,81.25
658.0,21560.0,80.0
659.0,21560.0,73.75
660.0,21600.0,83.75
661.0,21600.0,76.25
662.0,21560.5,80.0
663.0,21561.0,82.5
664.0,21560.0,82.5
665.0,21560.5,82.5
666.0,21640.0,80.0
667.0,21560.5,76.25
668.0,21600.0,78.75
669.0,21561.0,82.5
670.0,21620.5,88.75
671.0,21600.0,82.5
672.0,21600.5,82.5
673.0,21620.0,81.25
674.0,21600.5,71.25
675.0,21560.0,80.0
676.0,21560.5,77.5
677.0,21600.0,78.75
678.0,21640.0,80.0
679.0,21600.0,76.25
680.0,21620.5,78.75
681.0,21560.0,75.0
682.0,21600.0,81.25
683.0,21600.0,80.0
684.0,21600.5,91.28125
685.0,21600.0,83.75
686.0,21600.0,78.75
687.0,21640.0,77.5
688.0,21680.0,76.25
689.0,21640.0,85.0
