size,min_val,max_val,time,resolution,stdev
1441,1,100000,172882.0,79.375,8082.766
1450,1,100000,173022.0,75.641,9879.06
1459,1,100000,172982.0,81.25,9314.231
1468,1,100000,173522.0,75.625,8140.649
1477,1,100000,173202.0,209.375,10465.767
1486,1,100000,172922.0,76.875,9442.797
1495,1,100000,173041.5,81.25,10218.993
1504,1,100000,173362.0,77.5,8504.236
1513,1,100000,174941.5,79.375,9617.451
1522,1,100000,180482.0,79.375,54269.409
1531,1,100000,173842.0,71.875,9899.543
1540,1,100000,176902.0,76.875,6274.444
1549,1,100000,177781.5,74.375,8473.28
1558,1,100000,176702.0,77.5,8809.894
1567,1,100000,178181.5,75.625,9599.8
1576,1,100000,179482.0,78.75,10633.002
1585,1,100000,175082.0,76.875,7988.199
1594,1,100000,178761.0,76.266,9828.178
1603,1,100000,178562.0,78.125,45550.392
1612,1,100000,176321.0,76.25,7781.305
1621,1,100000,179242.0,78.75,60286.87
1630,1,100000,174702.0,84.375,20942.112
1639,1,100000,178962.0,78.125,8032.981
1648,1,100000,179362.0,78.125,8519.11
1657,1,100000,177802.0,80.0,7690.259
1666,1,100000,176082.0,76.875,11105.0
1675,1,100000,177501.5,78.125,9813.011
1684,1,100000,177361.5,77.516,6429.138
1693,1,100000,177982.0,75.0,7142.791
1702,1,100000,179762.0,77.5,10974.55
1711,1,100000,179962.0,78.125,10547.585
1720,1,100000,179782.0,79.375,9110.581
1729,1,100000,175362.0,76.25,10470.393
1738,1,100000,173961.0,79.375,7962.983
1747,1,100000,178162.0,81.875,10358.744
1756,1,100000,177202.0,83.125,10154.123
1765,1,100000,180362.0,80.0,7905.858
1774,1,100000,178122.0,80.0,10526.319
1783,1,100000,174562.0,78.125,11466.739
1792,1,100000,180062.0,76.875,9191.733
1801,1,100000,180041.5,78.141,10533.21
1810,1,100000,179762.0,80.0,8752.567
1819,1,100000,180362.0,75.625,8490.556
1828,1,100000,180181.0,80.625,10389.41
1837,1,100000,180342.0,183.141,8251.582
1846,1,100000,180261.5,81.25,20328.614
1855,1,100000,179582.0,76.875,7176.347
1864,1,100000,181322.0,76.875,8287.959
1873,1,100000,179682.0,75.0,9818.756
1882,1,100000,179302.0,76.25,7189.391
1891,1,100000,179122.0,163.125,11125.715
1900,1,100000,178762.0,78.75,8846.972
1909,1,100000,180302.0,77.516,6663.228
1918,1,100000,178542.0,74.375,7948.818
1927,1,100000,180922.0,79.375,8891.564
1936,1,100000,180981.0,76.25,8421.416
1945,1,100000,181342.0,76.25,9350.659
1954,1,100000,181642.0,82.5,8863.435
1963,1,100000,182002.0,78.75,9023.027
1972,1,100000,176202.0,78.75,9391.248
1981,1,100000,181102.0,78.125,9599.171
1990,1,100000,179042.0,78.75,10219.855
1999,1,100000,181281.5,78.125,8493.608
2008,1,100000,181881.5,76.875,10502.562
2017,1,100000,182162.0,77.5,9122.782
2026,1,100000,182002.0,87.5,8124.219
2035,1,100000,181002.0,144.375,10132.871
2044,1,100000,179962.0,79.375,10992.482
2053,1,100000,179662.0,78.75,8765.499
2062,1,100000,175281.5,83.125,10001.799
2071,1,100000,180062.0,76.875,8518.331
2080,1,100000,182242.0,80.0,9197.773
2089,1,100000,181082.0,76.875,6568.394
2098,1,100000,182842.0,86.25,9227.796
2107,1,100000,176261.5,79.391,10132.886
2116,1,100000,175982.0,82.5,8939.619
2125,1,100000,179742.0,77.5,7992.781
2134,1,100000,179602.0,76.25,5864.861
2143,1,100000,181422.0,77.5,10943.531
2152,1,100000,181382.0,73.766,10190.777
2161,1,100000,178322.0,80.625,10430.495
2170,1,100000,181222.0,77.5,7424.026
2179,1,100000,182082.0,75.0,8889.143
2188,1,100000,181982.0,80.0,7552.931
2197,1,100000,180601.5,76.875,10857.304
2206,1,100000,180562.0,81.875,8717.318
2215,1,100000,179662.0,76.25,8895.145
2224,1,100000,181122.0,86.25,7304.757
2233,1,100000,183442.0,75.625,10966.943
2242,1,100000,180941.5,76.25,10249.39
2251,1,100000,178582.0,77.5,9272.331
2260,1,100000,180202.0,78.75,9903.691
2269,1,100000,179142.0,76.875,7767.247
2278,1,100000,180122.0,75.625,8331.944
2287,1,100000,180022.0,80.0,8990.154
2296,1,100000,181121.5,79.375,64448.102
2305,1,100000,183082.0,76.25,8048.135
2314,1,100000,179982.0,75.625,10419.5
2323,1,100000,185081.5,80.0,10474.536
2332,1,100000,176901.5,78.125,12002.606
