size,time
357.0,167150.0
358.0,167400.0
359.0,170650.0
360.0,169900.0
361.0,169750.0
362.0,171150.0
363.0,161300.0
364.0,167400.0
365.0,165450.0
366.0,177350.0
367.0,175150.0
368.0,177150.0
369.0,174850.0
370.0,176550.0
371.0,177850.0
372.0,180750.0
373.0,179650.0
374.0,181800.0
375.0,181950.0
376.0,184850.0
377.0,184900.0
378.0,181450.0
379.0,177300.0
380.0,184400.0
381.0,183450.0
382.0,186650.0
383.0,187800.0
384.0,190950.0
385.0,189550.0
386.0,185000.0
387.0,182750.0
388.0,190500.0
389.0,193800.0
390.0,193450.0
391.0,195650.0
392.0,195550.0
393.0,193850.0
394.0,197150.0
395.0,199300.0
396.0,190350.0
397.0,191000.0
398.0,201400.0
399.0,201400.0
400.0,200750.0
401.0,203800.0
402.0,206500.0
403.0,205300.0
404.0,206750.0
405.0,205150.0
406.0,203000.0
407.0,193400.0
408.0,207550.0
409.0,212650.0
410.0,212450.0
411.0,213650.0
412.0,214450.0
413.0,214550.0
414.0,214100.0
415.0,212150.0
416.0,214650.0
417.0,218350.0
418.0,211250.0
419.0,213200.0
420.0,216750.0
421.0,222600.0
422.0,221900.0
423.0,224100.0
424.0,224000.0
425.0,217600.0
426.0,225600.0
427.0,225850.0
428.0,229100.0
429.0,224350.0
430.0,228100.0
431.0,223450.0
432.0,225600.0
433.0,231850.0
434.0,229750.0
435.0,230050.0
436.0,232450.0
437.0,236600.0
438.0,234600.0
439.0,238500.0
440.0,235900.0
441.0,241600.0
442.0,235600.0
443.0,231200.0
444.0,228750.0
445.0,237350.0
446.0,240850.0
447.0,242400.0
448.0,244900.0
449.0,243850.0
450.0,240250.0
451.0,247950.0
452.0,243650.0
453.0,241100.0
454.0,251350.0
455.0,253250.0
456.0,243300.0
457.0,236500.0
458.0,243650.0
459.0,250250.0
460.0,251800.0
461.0,248200.0
462.0,251350.0
463.0,247600.0
464.0,258700.0
465.0,260450.0
466.0,255700.0
467.0,258800.0
468.0,255050.0
469.0,265700.0
470.0,259300.0
471.0,267850.0
472.0,267550.0
473.0,269250.0
474.0,269950.0
475.0,270450.0
476.0,261600.0
477.0,263550.0
478.0,265750.0
479.0,270400.0
480.0,265050.0
481.0,266850.0
482.0,275650.0
483.0,283850.0
484.0,272700.0
485.0,267900.0
486.0,274800.0
487.0,270600.0
488.0,279750.0
489.0,273350.0
490.0,273200.0
491.0,276350.0
492.0,274400.0
493.0,290500.0
494.0,279550.0
495.0,277750.0
496.0,282100.0
497.0,279400.0
498.0,285950.0
499.0,280300.0
500.0,285950.0
501.0,285700.0
502.0,288000.0
503.0,300000.0
504.0,286250.0
505.0,290600.0
506.0,290500.0
507.0,293350.0
508.0,291200.0
509.0,291650.0
510.0,292350.0
511.0,297350.0
512.0,298000.0
513.0,299450.0
514.0,299150.0
515.0,301150.0
516.0,301000.0
517.0,300800.0
518.0,297950.0
519.0,300100.0
520.0,302200.0
521.0,306600.0
522.0,313800.0
523.0,309850.0
524.0,306050.0
525.0,304550.0
526.0,309500.0
527.0,310100.0
528.0,311700.0
529.0,314350.0
530.0,316650.0
531.0,310000.0
532.0,316950.0
533.0,325000.0
534.0,316900.0
535.0,321750.0
536.0,317050.0
537.0,324700.0
538.0,323000.0
539.0,316650.0
540.0,324050.0
541.0,324600.0
542.0,325750.0
543.0,325550.0
544.0,327200.0
545.0,326050.0
546.0,329600.0
547.0,329650.0
548.0,329400.0
549.0,333600.0
550.0,333550.0
551.0,337100.0
552.0,339450.0
553.0,339500.0
554.0,340050.0
555.0,336800.0
556.0,335800.0
557.0,338450.0
558.0,348100.0
559.0,342250.0
560.0,341250.0
561.0,349300.0
562.0,349250.0
563.0,350050.0
564.0,344200.0
565.0,355800.0
566.0,351550.0
567.0,350100.0
568.0,350550.0
569.0,352100.0
570.0,355200.0
571.0,353450.0
572.0,357800.0
573.0,352900.0
574.0,356950.0
575.0,348800.0
576.0,355050.0
577.0,365750.0
578.0,360000.0
579.0,362550.0
580.0,364000.0
581.0,367300.0
582.0,359700.0
583.0,369900.0
584.0,366700.0
585.0,361550.0
586.0,371550.0
587.0,367150.0
588.0,369000.0
589.0,373550.0
590.0,375600.0
591.0,376400.0
592.0,379650.0
593.0,375500.0
594.0,375350.0
595.0,377650.0
596.0,378000.0
597.0,376800.0
598.0,379700.0
599.0,386550.0
600.0,378650.0
601.0,383700.0
602.0,386550.0
603.0,388350.0
604.0,384850.0
605.0,391850.0
606.0,390450.0
607.0,389700.0
608.0,389600.0
609.0,394800.0
610.0,394600.0
611.0,398200.0
612.0,394900.0
613.0,404400.0
614.0,402100.0
615.0,401550.0
616.0,408000.0
617.0,404300.0
618.0,401350.0
619.0,396750.0
620.0,409600.0
621.0,406400.0
622.0,413800.0
623.0,406600.0
624.0,408500.0
625.0,413100.0
626.0,410600.0
627.0,411950.0
628.0,410050.0
629.0,412400.0
630.0,417850.0
631.0,415650.0
632.0,422300.0
633.0,417750.0
634.0,424000.0
635.0,417600.0
636.0,427250.0
637.0,427250.0
638.0,419450.0
639.0,424800.0
640.0,422650.0
641.0,429250.0
642.0,424800.0
643.0,427400.0
644.0,427200.0
645.0,438750.0
646.0,430300.0
647.0,430700.0
648.0,432100.0
649.0,443550.0
650.0,439350.0
651.0,448900.0
652.0,442950.0
653.0,440900.0
654.0,440300.0
655.0,443950.0
656.0,443950.0
657.0,444300.0
658.0,448850.0
659.0,461500.0
660.0,453750.0
661.0,450600.0
662.0,454100.0
663.0,456100.0
664.0,452250.0
665.0,460850.0
666.0,455050.0
667.0,461200.0
668.0,458400.0
669.0,457450.0
670.0,462200.0
671.0,457250.0
672.0,461100.0
673.0,466000.0
674.0,470100.0
675.0,467050.0
676.0,471500.0
677.0,467100.0
678.0,470100.0
679.0,471900.0
680.0,469300.0
681.0,477350.0
682.0,478450.0
683.0,479750.0
684.0,476450.0
685.0,481700.0
686.0,478350.0
687.0,480000.0
688.0,481150.0
689.0,480950.0
690.0,480450.0
691.0,483550.0
692.0,482100.0
693.0,489100.0
694.0,488700.0
695.0,488350.0
696.0,487450.0
697.0,498550.0
698.0,496000.0
699.0,493700.0
700.0,494650.0
701.0,497800.0
702.0,497850.0
703.0,497850.0
704.0,504400.0
705.0,505250.0
706.0,502700.0
707.0,504900.0
708.0,506750.0
709.0,505650.0
710.0,509500.0
711.0,507000.0
712.0,508550.0
713.0,520450.0
714.0,512350.0
715.0,512950.0
716.0,517550.0
717.0,519450.0
718.0,520650.0
719.0,521850.0
720.0,522550.0
721.0,521150.0
722.0,521800.0
723.0,521900.0
724.0,524900.0
725.0,527500.0
726.0,529250.0
727.0,531000.0
728.0,526750.0
729.0,534050.0
730.0,532100.0
731.0,536450.0
732.0,534350.0
733.0,538650.0
734.0,543000.0
735.0,540800.0
736.0,541450.0
737.0,541850.0
738.0,544750.0
739.0,546100.0
740.0,551550.0
741.0,550350.0
742.0,546250.0
743.0,553650.0
744.0,551800.0
745.0,562650.0
746.0,555550.0
747.0,553600.0
748.0,562450.0
749.0,558750.0
750.0,558300.0
751.0,560050.0
752.0,561700.0
753.0,565000.0
754.0,562650.0
755.0,569800.0
756.0,569500.0
757.0,565700.0
758.0,566700.0
759.0,578150.0
760.0,570050.0
761.0,580600.0
762.0,573850.0
763.0,572900.0
764.0,576300.0
765.0,580050.0
766.0,585150.0
767.0,582400.0
768.0,584400.0
769.0,580700.0
770.0,585600.0
771.0,588300.0
772.0,585750.0
773.0,591650.0
774.0,591850.0
775.0,592150.0
776.0,592450.0
777.0,598350.0
778.0,594050.0
779.0,595300.0
780.0,602050.0
781.0,603750.0
782.0,601800.0
783.0,601500.0
784.0,603200.0
785.0,604750.0
786.0,607750.0
787.0,610300.0
788.0,607800.0
789.0,610100.0
790.0,617550.0
791.0,616350.0
792.0,613900.0
793.0,615400.0
794.0,619100.0
795.0,618200.0
796.0,616550.0
797.0,619950.0
798.0,621900.0
799.0,622700.0
800.0,627200.0
801.0,642200.0
802.0,631550.0
803.0,632500.0
804.0,629350.0
805.0,633700.0
806.0,642850.0
807.0,637550.0
808.0,636900.0
809.0,637700.0
810.0,644150.0
811.0,640750.0
812.0,642000.0
813.0,647550.0
814.0,643050.0
815.0,649400.0
816.0,650750.0
817.0,657350.0
818.0,655850.0
819.0,648500.0
820.0,649850.0
821.0,655450.0
822.0,658500.0
823.0,662050.0
824.0,664100.0
825.0,664450.0
826.0,667150.0
827.0,666250.0
828.0,668850.0
829.0,668450.0
830.0,669850.0
831.0,669400.0
832.0,688350.0
833.0,680450.0
834.0,670750.0
835.0,677500.0
836.0,682250.0
837.0,687300.0
838.0,678600.0
839.0,678050.0
840.0,680950.0
841.0,685150.0
842.0,685650.0
843.0,686300.0
844.0,689850.0
845.0,693150.0
846.0,693250.0
847.0,699750.0
848.0,691700.0
849.0,692000.0
850.0,696600.0
851.0,696050.0
852.0,705200.0
853.0,703250.0
854.0,703050.0
855.0,706200.0
856.0,708550.0
857.0,707800.0
858.0,709000.0
859.0,708650.0
860.0,712950.0
861.0,714200.0
862.0,711500.0
863.0,717950.0
864.0,715250.0
865.0,713850.0
866.0,724800.0
867.0,728100.0
868.0,720250.0
869.0,719750.0
870.0,724750.0
871.0,729050.0
872.0,730150.0
873.0,733200.0
874.0,735700.0
875.0,732100.0
876.0,729650.0
877.0,741550.0
878.0,738850.0
879.0,740500.0
880.0,736800.0
881.0,745350.0
882.0,747450.0
883.0,753450.0
884.0,746700.0
885.0,747900.0
886.0,747550.0
887.0,752300.0
888.0,748900.0
889.0,753450.0
890.0,758700.0
891.0,761400.0
892.0,757650.0
893.0,761900.0
894.0,760750.0
895.0,770850.0
896.0,764400.0
897.0,768100.0
898.0,772400.0
899.0,768300.0
900.0,772300.0
901.0,771950.0
902.0,775200.0
903.0,776550.0
904.0,779300.0
905.0,781850.0
906.0,781500.0
907.0,783900.0
908.0,780550.0
909.0,788850.0
910.0,793450.0
911.0,785550.0
912.0,789000.0
913.0,792800.0
914.0,792600.0
915.0,790400.0
916.0,792550.0
917.0,800400.0
918.0,800550.0
919.0,800250.0
920.0,804100.0
921.0,803800.0
922.0,803150.0
923.0,809450.0
924.0,808300.0
925.0,809150.0
926.0,813350.0
927.0,813650.0
928.0,815050.0
929.0,815700.0
930.0,818500.0
931.0,820450.0
932.0,818950.0
933.0,818900.0
934.0,823300.0
935.0,825450.0
936.0,828650.0
937.0,829350.0
938.0,834550.0
939.0,840400.0
940.0,834850.0
941.0,834650.0
942.0,835100.0
943.0,842450.0
944.0,841550.0
945.0,836850.0
946.0,843850.0
947.0,855150.0
948.0,848400.0
949.0,856250.0
950.0,853250.0
951.0,851950.0
952.0,862600.0
953.0,853600.0
954.0,856200.0
955.0,857050.0
956.0,859900.0
957.0,861250.0
958.0,860650.0
959.0,867150.0
960.0,865050.0
961.0,866450.0
962.0,874800.0
963.0,893450.0
964.0,878550.0
965.0,880500.0
966.0,877150.0
967.0,878800.0
968.0,887550.0
969.0,903100.0
970.0,894800.0
971.0,919500.0
972.0,913150.0
973.0,895550.0
974.0,890000.0
975.0,896600.0
976.0,895150.0
977.0,899050.0
978.0,898000.0
979.0,898850.0
980.0,899450.0
981.0,901200.0
982.0,903250.0
983.0,903150.0
984.0,905650.0
985.0,934850.0
986.0,908300.0
987.0,917700.0
988.0,910350.0
989.0,918200.0
990.0,915950.0
991.0,918400.0
992.0,919400.0
993.0,917750.0
994.0,924000.0
995.0,931000.0
996.0,925200.0
997.0,925500.0
998.0,928400.0
999.0,930600.0
1000.0,929200.0
