size,time,resolution
290,2320.0,79.375
291,2280.0,76.875
292,2320.0,80.625
293,2320.0,83.75
294,2320.0,77.5
295,2320.0,76.875
296,2320.0,78.75
297,2320.0,77.5
298,2320.0,77.5
299,2320.0,77.5
300,2320.0,76.25
301,2320.0,75.625
302,2320.0,79.375
303,2320.0,78.75
304,2320.0,80.625
305,2320.0,81.875
306,2320.0,75.0
307,2360.0,78.125
308,2320.0,75.0
309,2320.0,77.5
310,2340.0,256.25
311,2360.0,75.0
312,2360.0,76.875
313,2360.0,75.0
314,2360.0,77.5
315,2360.0,74.375
316,2360.0,77.5
317,2360.0,75.0
318,2360.0,79.390625
319,2360.0,76.875
320,2360.0,78.75
321,2360.0,78.75
322,2360.0,80.625
323,2360.0,79.375
324,2360.0,76.875
325,2360.0,78.75
326,2360.0,76.890625
327,2360.0,75.625
328,2360.0,78.75
329,2360.0,78.125
330,2360.0,76.875
331,2400.0,76.25
332,2400.0,77.5
333,2400.0,75.0
334,2400.0,75.0
335,2400.0,91.25
336,2400.0,79.375
337,2400.0,77.5
338,2400.0,76.875
339,2400.0,76.875
340,2400.0,75.625
341,2400.0,76.875
342,2400.0,74.375
343,2400.0,79.375
344,2400.0,75.625
345,2400.0,76.25
346,2400.0,77.5
347,2400.0,76.875
348,2400.0,76.875
349,2400.0,75.625
350,2400.0,74.375
351,2400.0,75.0
352,2440.0,75.625
353,2400.0,203.125
354,2440.0,73.75
355,2440.0,76.25
356,2440.0,75.625
357,2440.0,75.625
358,2440.0,76.265625
359,2440.0,78.125
360,2440.0,79.375
361,2440.0,76.25
362,2440.0,78.125
363,2440.0,78.125
364,2440.0,76.875
365,2440.0,78.75
366,2440.0,79.375
367,2440.0,77.5
368,2440.0,76.875
369,2440.0,76.875
370,2440.0,75.625
371,2460.0,73.75
372,2440.0,82.5
373,2441.0,78.75
374,2460.5,78.125
375,2440.0,77.5
376,2480.0,76.25
377,2460.0,76.25
378,2480.0,80.0
379,2480.0,74.375
380,2480.0,126.25
381,2480.0,78.125
382,2480.0,76.265625
383,2480.0,78.75
384,2480.0,80.0
385,2480.0,75.625
386,2480.0,77.5
387,2480.0,76.875
388,2480.0,75.0
389,2480.0,73.125
390,2480.0,75.0
391,2480.0,74.375
392,2480.0,76.25
393,2500.5,76.875
394,2480.0,79.375
395,2520.0,78.75
396,2520.0,76.25
397,2500.0,78.125
398,2520.0,78.75
399,2520.0,75.625
400,2520.0,78.75
401,2520.0,78.125
402,2520.0,76.25
403,2520.0,78.125
404,2520.0,75.0
405,2520.0,75.625
406,2520.0,78.125
407,2520.0,76.875
408,2520.0,79.375
409,2520.0,76.25
410,2520.0,80.0
411,2520.0,78.125
412,2520.0,73.75
413,2520.0,77.5
414,2520.0,70.625
415,2520.0,79.375
416,2560.0,75.0
417,2520.0,76.875
418,2560.0,80.625
419,2560.0,137.5
420,2560.0,73.75
421,2560.0,76.875
422,2560.0,75.625
423,2560.0,77.5
424,2560.0,75.0
425,2560.0,77.5
426,2560.0,80.0
427,2560.0,77.5
428,2560.0,75.625
429,2560.0,76.875
430,2560.0,76.25
431,2560.0,75.625
432,2560.0,210.0
433,2560.0,77.5
434,2560.0,76.875
435,2560.0,75.625
436,2560.0,75.640625
437,2560.0,76.875
438,2600.0,75.625
439,2600.0,78.75
440,2600.0,75.625
441,2600.0,77.5
442,2600.0,80.625
443,2600.0,74.375
444,2600.0,77.5
445,2600.0,74.375
446,2600.0,77.5
447,2600.0,77.5
448,2600.0,74.375
449,2600.0,76.875
450,2600.0,76.25
451,2600.0,77.5
452,2600.0,76.25
453,2600.0,80.0
454,2600.0,76.25
455,2600.0,74.375
456,2600.0,76.265625
457,2600.0,172.5
458,2600.0,76.875
459,2600.0,78.125
460,2640.0,79.375
461,2600.0,78.125
462,2640.0,78.75
463,2640.0,78.75
464,2640.0,80.0
465,2640.0,80.0
466,2640.0,78.125
467,2640.0,78.75
468,2640.0,133.75
469,2640.0,76.875
470,2640.0,76.875
471,2640.0,75.625
472,2640.0,80.625
473,2640.0,80.0
474,2640.0,79.375
475,2640.0,76.25
476,2640.0,74.375
477,2640.0,78.75
478,2640.0,79.375
479,2640.0,76.25
480,2640.0,85.0
481,2660.0,77.5
482,2680.0,73.75
483,2680.0,76.875
484,2680.0,74.375
485,2680.0,77.5
486,2680.0,139.375
487,2680.0,76.875
488,2680.0,76.875
489,2680.0,74.375
490,2680.0,77.5
491,2680.0,81.25
492,2680.0,79.375
493,2680.0,76.25
494,2680.0,77.5
495,2680.0,77.5
496,2680.0,76.890625
497,2680.0,78.75
498,2680.0,78.125
499,2680.0,78.75
500,2680.0,75.625
501,2680.0,72.5
502,2680.0,74.375
503,2720.0,78.75
504,2720.0,74.375
505,2720.0,77.5
506,2720.0,76.875
507,2720.0,80.0
508,2720.0,76.875
509,2720.0,76.265625
510,2720.0,77.5
511,2720.0,78.125
512,2720.0,76.875
513,2700.5,78.125
514,2720.0,75.625
515,2720.0,75.0
516,2720.0,76.875
517,2720.0,78.125
518,2720.0,80.0
519,2720.0,78.75
520,2720.0,83.75
521,2720.0,475.0
522,2720.0,75.625
523,2720.0,75.640625
524,2720.0,76.890625
525,2760.0,75.0
526,2760.0,79.375
527,2760.0,76.25
528,2760.0,77.5
529,2760.0,78.75
530,2760.0,76.265625
531,2760.0,76.25
532,2760.0,75.625
533,2760.0,77.5
534,2760.0,78.765625
535,2760.0,80.015625
536,2760.0,77.5
537,2760.0,77.5
538,2760.0,72.5
539,2760.0,80.0
540,2760.0,77.5
541,2760.0,78.75
542,2760.0,78.75
543,2760.0,77.5
544,2800.0,76.265625
545,2760.0,76.25
546,2800.0,76.25
547,2800.0,76.25
548,2800.0,78.75
549,2760.0,77.5
550,2800.0,75.0
551,2800.0,74.375
552,2800.0,78.125
553,2800.0,76.875
554,2800.0,80.0
555,2800.0,79.375
556,2800.0,74.375
557,2800.0,73.125
558,2800.0,76.90625
559,2800.0,75.0
560,2800.0,76.25
561,2800.0,76.875
562,2800.0,79.375
563,2800.0,79.375
564,2840.0,78.125
565,2800.0,77.515625
566,2840.0,75.625
567,2800.5,76.875
568,2840.0,77.5
569,2800.0,76.875
570,2840.0,81.25
571,2840.0,76.875
572,2840.0,79.375
573,2840.0,79.375
574,2880.0,80.625
575,2840.0,80.015625
576,2840.0,76.890625
577,2840.0,78.75
578,2880.0,78.75
579,2840.0,78.125
580,2880.0,75.015625
581,2840.0,74.375
582,2880.0,75.625
583,2840.0,80.0
584,2880.0,77.5
585,2840.0,76.875
586,2880.0,81.875
587,2840.0,78.75
588,2880.0,75.625
589,2840.0,74.375
590,2880.0,76.875
591,2880.0,75.625
592,2880.0,76.875
593,2840.0,78.75
594,2900.5,388.125
595,2880.0,76.25
596,2920.0,76.25
597,2880.0,78.125
598,2881.0,79.375
599,2880.0,79.375
600,2920.0,78.125
601,2880.0,77.5
602,2920.0,78.125
603,2880.0,77.5
604,2920.0,80.0
605,2880.0,78.140625
606,2920.0,78.125
607,2880.0,77.5
608,2920.0,79.390625
609,2880.0,79.375
610,2920.0,76.25
611,2880.0,76.875
612,2920.0,76.25
613,2880.0,76.25
614,2920.0,76.875
615,2920.0,75.0
616,2920.0,83.125
617,2920.0,76.25
618,2960.0,78.125
619,2920.0,135.0
620,2960.0,77.5
621,2920.0,75.625
622,2960.0,76.875
623,2920.0,81.265625
624,2960.0,79.375
625,2920.0,75.0
626,2960.0,78.75
627,2920.0,78.125
628,2960.0,78.75
629,2920.0,81.265625
630,2960.0,77.5
631,2920.0,74.375
632,2960.0,76.875
633,2920.0,75.0
634,2960.0,78.125
635,2920.0,77.5
636,2960.0,76.875
637,2960.0,78.125
638,2960.0,80.015625
639,2920.0,78.125
640,2960.5,80.625
641,2960.0,79.375
642,3000.0,79.375
643,2960.0,76.875
644,3000.0,78.125
645,2960.0,78.125
646,3000.0,78.75
647,2960.0,74.390625
648,3000.0,80.0
649,2960.0,75.0
650,3000.0,76.875
651,2960.0,76.25
652,3000.0,76.25
653,2960.0,76.890625
654,3000.0,79.375
655,3000.0,80.625
656,3000.0,81.25
657,3000.0,79.375
658,3000.0,73.75
659,3000.0,77.5
660,3000.0,76.25
661,3000.0,77.5
662,3000.0,78.75
663,3000.0,76.25
664,3040.0,75.0
665,3000.0,80.0
666,3040.0,75.625
667,3000.0,78.125
668,3040.0,75.625
669,3000.0,75.625
670,3040.0,81.25
671,3000.0,75.0
672,3040.0,74.375
673,3000.0,79.375
674,3040.0,75.625
675,3000.0,76.25
676,3040.0,76.875
677,3000.0,77.5
678,3040.0,78.125
679,3001.0,78.125
680,3040.0,396.890625
681,3020.0,76.25
682,3040.0,78.125
683,3040.0,75.625
684,3080.0,77.5
685,3040.0,76.875
686,3060.0,78.125
687,3040.0,75.625
688,3080.0,77.5
689,3040.0,78.125
690,3080.0,75.625
691,3040.0,78.125
692,3080.0,81.25
693,3040.0,79.375
694,3080.0,79.375
695,3040.0,80.625
696,3080.0,76.875
697,3040.0,77.5
698,3080.0,81.875
699,3040.0,72.5
700,3080.0,78.75
701,3080.0,75.0
702,3080.0,75.625
703,3080.0,77.5
704,3080.0,75.625
705,3080.0,73.75
706,3080.0,76.25
707,3080.0,80.625
708,3080.0,73.125
709,3080.0,80.0
710,3080.0,78.125
711,3080.0,78.125
712,3080.0,76.875
713,3100.5,78.125
714,3080.0,76.875
715,3120.0,78.75
716,3080.0,73.75
717,3120.0,76.25
718,3080.5,78.125
719,3120.0,75.625
720,3120.0,78.75
721,3120.0,75.0
722,3120.0,79.375
723,3120.0,76.25
724,3120.0,75.015625
725,3120.0,306.25
726,3120.0,77.5
727,3120.0,115.625
728,3120.0,76.25
729,3120.0,78.140625
730,3120.0,79.375
731,3160.0,78.125
732,3120.0,76.25
733,3120.0,78.75
734,3160.0,73.75
735,3120.0,76.25
736,3160.0,78.125
737,3160.0,76.875
738,3121.0,76.875
739,3160.0,77.5
740,3160.0,76.875
741,3160.0,78.75
742,3160.0,80.0
743,3160.0,78.75
744,3160.0,76.875
745,3160.0,75.640625
746,3160.0,75.625
747,3160.0,76.25
748,3160.0,165.015625
749,3160.0,75.625
750,3160.0,76.25
751,3160.0,75.0
752,3180.5,76.25
753,3200.0,80.625
754,3200.0,73.75
755,3200.0,76.25
756,3200.0,77.5
757,3180.5,76.875
758,3200.0,79.375
759,3200.0,347.5
760,3200.0,79.375
761,3200.0,78.75
762,3200.0,76.890625
763,3200.0,80.0
764,3200.0,76.875
765,3200.0,76.25
766,3200.0,102.5
767,3200.0,76.875
768,3200.0,78.125
769,3200.0,78.75
770,3200.0,75.640625
771,3200.0,75.0
772,3200.0,74.375
773,3200.0,76.875
774,3200.0,77.5
775,3240.0,153.75
776,3200.0,78.125
777,3200.0,76.25
778,3240.0,78.125
779,3240.0,75.0
780,3240.0,80.0
781,3240.0,74.375
782,3240.0,80.625
783,3240.0,77.5
784,3240.0,76.875
785,3240.0,75.625
786,3240.0,79.375
787,3240.0,80.625
788,3240.0,76.875
789,3240.0,84.375
790,3240.0,78.75
791,3240.0,76.25
792,3240.0,78.75
793,3240.0,80.0
794,3240.0,80.0
795,3240.0,78.75
796,3240.0,74.375
797,3240.0,75.0
798,3240.0,73.75
799,3240.0,78.125
800,3240.0,78.125
801,3240.0,79.375
802,3240.0,75.0
803,3240.0,141.265625
804,3280.0,78.125
805,3240.0,77.5
806,3240.0,74.375
807,3240.0,113.125
808,3240.0,114.375
809,3240.0,76.25
810,3240.0,76.25
811,3240.0,78.75
812,3280.0,78.75
813,3280.0,76.25
814,3240.0,76.25
815,3280.0,76.875
816,3280.0,113.140625
817,3280.0,78.75
818,3280.0,78.75
819,3280.0,78.75
820,3280.0,78.125
821,3280.0,78.125
822,3280.0,78.125
823,3280.0,75.625
824,3280.0,78.125
825,3280.0,78.125
826,3280.0,78.140625
827,3280.0,78.125
828,3280.0,78.125
829,3280.0,80.0
830,3280.0,217.5
831,3280.0,78.125
832,3320.0,77.5
833,3300.0,77.5
834,3320.0,80.0
835,3320.0,76.25
836,3320.0,78.765625
837,3320.0,78.125
838,3320.0,77.5
839,3320.0,78.140625
840,3320.0,76.875
841,3320.0,78.75
842,3320.0,76.875
843,3320.0,76.25
844,3320.0,78.125
845,3320.0,76.25
846,3320.0,73.75
847,3320.0,78.75
848,3320.0,76.875
849,3320.0,73.125
850,3320.0,74.375
851,3320.0,76.25
852,3320.0,128.75
853,3320.0,276.875
854,3320.0,75.0
855,3320.0,75.0
856,3360.0,82.5
857,3320.0,75.625
858,3320.5,78.125
859,3360.0,78.125
860,3320.0,79.375
861,3320.0,76.875
862,3360.0,77.5
863,3360.0,80.0
864,3360.0,143.125
865,3360.0,79.375
866,3360.0,76.875
867,3360.0,72.5
868,3400.0,79.375
869,3360.0,76.25
870,3360.0,79.375
871,3360.0,76.25
872,3360.0,75.640625
873,3360.0,74.375
874,3400.0,77.515625
875,3360.0,76.875
876,3360.0,76.25
877,3400.0,80.625
878,3400.0,78.125
879,3360.0,76.875
880,3400.0,83.75
881,3360.0,81.25
882,3400.0,145.625
883,3400.0,75.625
884,3400.0,77.5
885,3400.0,78.75
886,3400.0,78.75
887,3400.0,190.625
888,3400.0,84.375
889,3400.0,84.375
890,3400.0,78.75
891,3400.0,74.375
892,3440.0,75.625
893,3400.0,76.25
894,3400.0,75.0
895,3400.0,78.75
896,3400.0,75.625
897,3400.0,76.25
898,3440.0,79.375
899,3440.0,79.375
900,3400.0,75.625
901,3440.0,76.25
902,3440.0,75.625
903,3440.0,81.25
904,3440.0,79.375
905,3440.0,77.5
906,3440.0,80.625
907,3440.0,78.125
908,3440.0,77.5
909,3440.0,76.25
910,3440.0,76.875
911,3440.0,74.375
912,3440.0,81.25
913,3440.0,78.140625
914,3440.0,86.25
915,3440.0,72.5
916,3440.0,78.75
917,3440.0,75.625
918,3440.0,123.125
919,3480.0,76.875
920,3440.5,78.765625
921,3480.0,78.125
922,3480.0,76.875
923,3440.5,73.75
924,3480.0,78.125
925,3480.0,76.25
926,3480.0,75.0
927,3480.0,116.875
928,3480.0,76.25
929,3480.0,78.125
930,3480.0,76.25
931,3480.0,80.0
932,3480.0,76.875
933,3480.0,78.75
934,3480.0,80.0
935,3480.0,77.5
936,3520.0,84.375
937,3480.0,77.5
938,3520.0,76.875
939,3520.0,80.0
940,3520.0,74.375
941,3500.5,80.0
942,3520.0,78.125
943,3520.0,79.375
944,3520.0,73.75
945,3520.0,75.0
946,3520.0,82.5
947,3520.0,80.0
948,3560.0,79.375
949,3520.0,240.0
950,3520.0,73.75
951,3520.0,79.375
952,3520.0,75.0
953,3520.0,77.5
954,3520.0,86.25
955,3520.0,83.125
956,3520.0,77.5
957,3520.0,78.75
958,3520.0,80.0
959,3520.0,77.5
960,3560.0,75.625
961,3560.0,76.25
962,3560.0,73.125
963,3560.0,80.625
964,3520.0,78.75
965,3560.0,75.625
966,3560.0,86.25
967,3520.0,82.5
968,3560.0,85.0
969,3560.0,81.875
970,3560.0,74.375
971,3560.0,76.875
972,3560.0,80.640625
973,3560.0,78.75
974,3560.0,79.375
975,3560.0,77.5
976,3560.0,78.125
977,3560.0,77.5
978,3600.0,78.75
979,3560.0,81.25
980,3600.0,73.75
981,3600.0,78.125
982,3560.0,109.375
983,3600.0,77.5
984,3600.0,78.75
985,3560.0,82.5
986,3600.0,78.75
987,3600.0,77.5
988,3560.0,78.125
989,3600.0,253.125
990,3600.0,80.625
991,3600.0,79.375
992,3600.0,76.25
993,3600.0,76.25
994,3600.0,77.5
995,3600.0,76.875
996,3600.0,75.0
997,3600.0,76.875
998,3600.0,75.0
999,3640.0,151.25
1000,3600.0,75.625
1001,3600.0,76.25
1002,3640.0,74.375
1003,3600.0,85.0
1004,3600.0,82.5
1005,3600.0,80.0
1006,3640.0,80.625
1007,3640.0,74.375
1008,3640.0,84.40625
1009,3640.0,83.75
1010,3640.0,78.75
1011,3640.0,90.0
1012,3640.0,88.140625
1013,3640.0,76.875
1014,3640.0,86.875
1015,3640.0,83.140625
1016,3640.0,76.875
1017,3640.0,77.5
1018,3640.0,427.5
1019,3640.0,74.375
1020,3640.0,80.640625
1021,3640.0,76.875
1022,3640.0,86.875
1023,3640.0,88.765625
1024,3640.0,75.625
1025,3640.0,75.625
1026,3640.0,78.125
1027,3640.0,74.390625
1028,3680.0,77.5
1029,3640.0,77.5
1030,3680.0,123.125
1031,3680.0,77.5
1032,3680.0,78.75
1033,3700.5,76.25
1034,3720.0,75.0
1035,3720.0,76.25
1036,3720.0,76.875
1037,3720.0,75.0
1038,3720.0,78.75
1039,3720.0,85.0
1040,3720.0,76.265625
1041,3720.0,73.125
1042,3720.0,78.125
1043,3720.0,76.875
1044,3720.0,78.125
1045,3720.0,78.75
1046,3720.0,83.75
1047,3720.0,188.125
1048,3720.0,76.875
1049,3720.0,79.375
1050,3760.0,77.5
1051,3760.0,77.5
