size,min_val,max_val,time,resolution,stdev
100,1,100000,171062.0,84.383,20958.461
599,1,100000,174221.0,84.383,14016.151
1098,1,100000,172122.0,82.812,7128.327
1597,1,100000,177802.0,82.188,8205.319
2096,1,100000,183002.0,91.562,8475.159
2595,1,100000,183962.0,80.32,9044.813
3094,1,100000,181922.0,81.875,9162.219
3593,1,100000,188542.0,90.0,9853.263
4092,1,100000,191562.0,84.062,10311.267
4591,1,100000,192362.0,80.625,9521.168
5090,1,100000,194322.0,80.938,8270.836
5589,1,100000,196322.0,81.875,8882.033
6088,1,100000,200002.0,177.5,10863.38
6587,1,100000,201282.5,83.125,9495.173
7086,1,100000,201662.0,91.875,9454.057
7585,1,100000,205183.0,87.812,9529.229
8084,1,100000,207622.5,83.438,7687.687
8583,1,100000,210942.0,88.125,9755.988
9082,1,100000,209242.0,85.0,9705.072
9581,1,100000,215802.0,86.57,9081.839
10080,1,100000,218122.0,86.25,8967.898
10579,1,100000,214842.5,84.078,11133.017
11078,1,100000,211962.0,85.312,9583.512
11577,1,100000,213802.5,81.25,10755.86
12076,1,100000,215602.0,81.25,11244.69
12575,1,100000,219702.0,84.062,10109.954
13074,1,100000,218962.0,82.812,10099.508
13573,1,100000,229902.5,84.695,11268.499
14072,1,100000,232762.5,89.062,10289.731
14571,1,100000,226342.5,82.812,9622.719
15070,1,100000,233343.0,93.125,9640.343
15569,1,100000,231422.0,102.188,10761.02
16068,1,100000,239962.0,135.0,8090.674
16567,1,100000,242082.5,103.445,10117.994
17066,1,100000,244443.0,92.195,10429.131
17565,1,100000,249922.5,92.5,9303.566
18064,1,100000,252343.0,134.062,10920.964
18563,1,100000,252182.5,109.375,9138.698
19062,1,100000,255963.0,102.188,12245.992
19561,1,100000,258423.0,98.75,11193.143
20060,1,100000,261382.5,100.945,10842.422
20559,1,100000,263802.5,106.562,11268.036
21058,1,100000,264262.5,107.188,10824.299
21557,1,100000,260543.0,104.062,10443.264
22056,1,100000,261503.0,117.82,10145.764
22555,1,100000,267203.0,103.75,9922.187
23054,1,100000,270523.0,109.062,10387.375
23553,1,100000,268743.0,109.688,11195.7
24052,1,100000,271903.0,113.75,10638.813
24551,1,100000,276162.5,117.188,11219.796
25050,1,100000,279243.0,113.758,10929.983
25549,1,100000,278863.0,122.812,11497.195
26048,1,100000,280963.0,115.938,12718.724
26547,1,100000,283683.0,122.188,114962.805
27046,1,100000,286523.0,200.312,11694.58
27545,1,100000,284763.0,307.188,12454.576
28044,1,100000,289743.0,112.5,11009.277
28543,1,100000,293563.5,116.25,11689.636
29042,1,100000,298803.5,109.062,12264.258
29541,1,100000,300083.5,115.32,11084.892
30040,1,100000,301943.5,118.125,11485.162
30539,1,100000,302463.0,129.07,9568.322
31038,1,100000,306823.0,121.57,12834.331
31537,1,100000,308483.5,125.938,10912.61
32036,1,100000,310203.0,112.812,12069.231
32535,1,100000,313603.0,126.562,12251.056
33034,1,100000,313723.5,123.133,15945.931
33533,1,100000,316283.5,132.812,12599.371
34032,1,100000,318583.0,111.25,11217.598
34531,1,100000,319643.5,115.938,14887.458
35030,1,100000,317783.5,200.633,14692.087
35529,1,100000,319103.5,208.133,14640.565
36028,1,100000,328823.5,118.445,16513.199
36527,1,100000,332483.5,124.062,13214.09
37026,1,100000,336623.5,120.312,15162.236
37525,1,100000,333404.0,119.062,12816.603
38024,1,100000,335623.0,118.125,13621.129
38523,1,100000,344703.0,120.625,12975.357
39022,1,100000,352203.5,131.562,13784.387
39521,1,100000,357063.5,158.125,14490.165
40020,1,100000,359923.5,131.875,14347.065
40519,1,100000,366644.0,120.312,14841.427
41018,1,100000,360123.5,457.5,15334.906
41517,1,100000,354463.5,115.0,15254.336
42016,1,100000,356963.0,127.82,13358.164
42515,1,100000,361783.5,122.5,15349.424
43014,1,100000,363864.0,112.812,16745.834
43513,1,100000,362864.0,116.562,15103.417
44012,1,100000,366144.0,127.5,21795.061
44511,1,100000,373883.5,118.75,16269.574
45010,1,100000,383244.0,121.25,14167.968
45509,1,100000,376544.0,122.5,13855.599
46008,1,100000,373424.0,124.383,14599.792
46507,1,100000,381944.0,121.258,18220.847
47006,1,100000,390704.0,123.438,18373.385
47505,1,100000,385704.0,120.312,18894.661
48004,1,100000,391144.0,133.125,17046.093
48503,1,100000,372324.0,122.812,26279.954
49002,1,100000,379404.0,117.195,18502.481
49501,1,100000,391964.0,127.812,17327.085
50000,1,100000,390904.0,124.062,15302.637
50499,1,100000,379023.5,125.312,17331.079
50998,1,100000,394004.0,137.5,18028.855
51497,1,100000,400824.0,130.625,16606.77
51996,1,100000,388264.0,122.5,18762.747
52495,1,100000,401364.0,129.375,16696.361
52994,1,100000,402404.0,125.0,16531.332
53493,1,100000,408504.5,125.312,17408.351
53992,1,100000,408884.5,132.812,15774.747
54491,1,100000,410424.5,134.688,17181.665
54990,1,100000,425784.5,154.688,14475.711
55489,1,100000,435625.0,124.062,16434.365
55988,1,100000,420304.0,125.938,21385.505
56487,1,100000,427944.5,135.016,14302.407
56986,1,100000,425084.5,134.375,17400.562
57485,1,100000,426784.0,139.062,16277.387
57984,1,100000,421784.0,138.125,14485.362
58483,1,100000,415604.0,126.875,20056.533
58982,1,100000,425105.0,131.25,17955.902
59481,1,100000,434385.0,137.812,16708.163
59980,1,100000,435264.5,132.812,18145.599
60479,1,100000,430484.5,136.562,19254.655
60978,1,100000,428945.0,137.188,19527.616
61477,1,100000,439564.0,146.25,16755.787
61976,1,100000,447684.5,150.312,17536.305
62475,1,100000,445224.5,146.25,17760.441
62974,1,100000,451084.5,146.875,15859.258
63473,1,100000,453665.0,145.938,15577.776
63972,1,100000,457224.5,147.5,14742.726
64471,1,100000,459305.0,145.625,14209.084
64970,1,100000,477825.0,144.375,32864.184
65469,1,100000,477065.0,140.625,29059.085
65968,1,100000,482765.0,150.625,34145.186
66467,1,100000,473365.0,128.438,35223.646
66966,1,100000,476205.0,138.75,28043.394
67465,1,100000,497505.0,144.07,34007.929
67964,1,100000,485785.0,138.75,36402.332
68463,1,100000,493005.0,146.562,29803.061
68962,1,100000,490725.0,147.188,30264.598
69461,1,100000,499725.0,142.195,30870.124
69960,1,100000,485685.5,142.188,32712.013
70459,1,100000,493905.0,144.375,30888.548
70958,1,100000,501245.5,148.75,30130.218
71457,1,100000,508005.0,152.188,31364.226
71956,1,100000,511445.0,153.75,28483.901
72455,1,100000,505166.0,146.875,30709.648
72954,1,100000,515325.0,187.5,30356.416
73453,1,100000,516725.0,145.0,31881.195
73952,1,100000,538746.0,152.5,34116.639
74451,1,100000,511885.0,155.938,31686.388
74950,1,100000,533486.0,146.562,34219.006
75449,1,100000,507146.0,155.945,28564.852
75948,1,100000,504005.5,172.812,32945.436
76447,1,100000,530865.5,153.125,31530.747
76946,1,100000,528385.0,144.375,32993.457
77445,1,100000,530665.5,139.688,32079.49
77944,1,100000,544365.5,161.875,33557.997
78443,1,100000,536086.0,147.188,31977.852
78942,1,100000,533986.0,178.445,48198.402
