size,time,resolution
320,880.0,75.0
321,840.0,75.625
322,880.0,76.25
323,880.0,74.375
324,840.0,76.875
325,880.0,78.75
326,880.0,75.625
327,880.0,75.0
328,880.0,76.25
329,880.0,75.625
330,880.0,78.75
331,880.0,74.375
332,880.0,77.5
333,880.0,76.25
334,880.0,74.375
335,880.0,79.375
336,880.0,77.5
337,880.0,77.5
338,880.0,78.75
339,880.0,76.875
340,880.0,76.875
341,880.0,76.25
342,880.0,75.0
343,880.0,78.125
344,920.0,77.5
345,880.0,78.125
346,920.0,78.125
347,920.0,73.125
348,920.0,73.75
349,920.0,76.25
350,920.0,75.625
351,920.0,85.0
352,920.0,74.375
353,920.0,80.0
354,920.0,75.625
355,920.0,80.0
356,920.0,74.375
357,920.0,74.375
358,920.0,75.0
359,920.0,79.390625
360,920.0,73.125
361,920.0,179.375
362,920.0,76.875
363,920.0,248.75
364,920.0,76.875
365,940.5,77.5
366,960.0,76.265625
367,960.0,78.125
368,960.0,78.125
369,960.0,76.875
370,960.0,77.5
371,960.0,78.125
372,960.0,76.875
373,960.0,76.875
374,960.0,75.625
375,960.0,76.875
376,960.0,76.875
377,960.0,77.5
378,960.0,79.375
379,960.0,78.75
380,960.0,78.125
381,960.0,73.75
382,960.0,76.875
383,1000.0,77.5
384,1000.0,78.125
385,1000.0,74.375
386,960.0,77.5
387,1000.0,78.75
388,1000.0,73.125
389,1000.0,78.125
390,1000.0,76.25
391,1000.0,77.5
392,1000.0,77.5
393,1000.0,74.375
394,1000.0,79.375
395,1000.0,76.875
396,1000.0,73.125
397,1000.0,81.25
398,1000.0,75.625
399,1000.0,73.125
400,1000.0,76.25
401,1000.0,76.265625
402,1040.0,80.625
403,1000.0,75.625
404,1000.0,76.25
405,1000.0,76.25
406,1000.0,76.875
407,1000.0,76.875
408,1000.0,76.25
409,1000.0,80.0
410,1040.0,72.5
411,1040.0,75.0
412,1040.0,71.875
413,1040.0,78.125
414,1040.0,364.375
415,1040.0,76.25
416,1040.0,77.5
417,1040.0,76.875
418,1040.0,76.875
419,1040.0,80.0
420,1040.0,78.75
421,1040.0,79.375
422,1040.0,76.265625
423,1060.0,75.0
424,1040.0,79.375
425,1040.0,194.375
426,1040.0,74.375
427,1040.0,73.75
428,1080.0,78.765625
429,1080.0,80.0
430,1080.0,77.5
431,1040.0,73.75
432,1080.0,72.5
433,1080.0,76.875
434,1080.0,74.375
435,1080.0,80.0
436,1080.0,77.5
437,1080.0,76.25
438,1080.0,78.125
439,1080.0,75.0
440,1080.0,76.265625
441,1080.0,104.375
442,1080.0,75.0
443,1080.0,80.0
444,1080.0,78.75
445,1080.0,78.125
446,1080.0,76.25
447,1080.0,75.625
448,1080.0,78.140625
449,1080.0,76.875
450,1080.0,77.5
451,1080.0,79.375
452,1080.5,77.5
453,1120.0,178.75
454,1120.0,74.375
455,1120.0,75.0
456,1120.0,75.625
457,1120.0,76.25
458,1120.0,81.25
459,1120.0,78.125
460,1120.0,74.375
461,1120.0,78.75
462,1120.0,77.5
463,1120.0,76.25
464,1120.0,78.75
465,1120.0,74.375
466,1160.0,76.25
467,1120.0,141.25
468,1160.0,80.0
469,1120.0,75.0
470,1120.0,76.875
471,1120.0,74.375
472,1120.0,73.75
473,1160.0,74.375
474,1160.0,76.25
475,1160.0,173.75
476,1160.0,78.75
477,1160.0,76.875
478,1160.0,78.125
479,1160.0,79.375
480,1160.0,73.75
481,1160.0,75.625
482,1160.0,75.0
483,1160.0,78.75
484,1160.0,74.390625
485,1160.0,78.125
486,1160.0,76.875
487,1160.0,78.765625
488,1160.0,76.875
489,1160.0,78.125
490,1160.0,76.25
491,1160.0,77.5
492,1160.0,74.375
493,1160.0,160.625
494,1200.0,78.125
495,1160.5,80.640625
496,1200.0,531.265625
497,1200.0,76.875
498,1200.0,76.25
499,1200.0,77.5
500,1200.0,77.5
501,1200.0,76.25
502,1200.0,74.375
503,1200.0,75.625
504,1200.0,78.75
505,1200.0,72.5
506,1200.0,73.125
507,1200.0,77.5
508,1200.0,76.875
509,1200.0,75.0
510,1200.0,78.125
511,1200.0,73.75
512,1200.0,78.125
513,1200.0,76.875
514,1200.0,76.875
515,1200.0,76.875
516,1200.0,75.0
517,1240.0,77.5
518,1200.5,77.5
519,1240.0,77.5
520,1200.0,78.765625
521,1240.0,76.25
522,1240.0,76.875
523,1240.0,71.875
524,1240.0,74.375
525,1240.0,76.25
526,1240.0,78.125
527,1260.5,80.0
528,1240.0,76.25
529,1240.0,76.875
530,1280.0,80.0
531,1240.0,79.375
532,1240.0,74.375
533,1240.0,77.5
534,1240.0,78.75
535,1240.0,75.625
