size,min_val,max_val,time,resolution,stdev
100,1,100000,169422.0,98.125,51313.162
100,1,100000,169741.5,101.891,9163.116
101,1,100000,167442.0,99.375,7890.768
102,1,100000,170522.0,96.875,7984.7
102,1,100000,169522.0,91.25,7972.389
103,1,100000,170162.0,103.75,8759.838
104,1,100000,172282.0,101.25,7845.593
104,1,100000,170562.0,100.0,7502.744
105,1,100000,169781.5,95.641,7275.419
106,1,100000,167162.0,94.375,7212.359
107,1,100000,167842.0,92.5,7953.466
107,1,100000,169661.5,100.0,7980.418
108,1,100000,170641.5,96.875,7482.606
109,1,100000,172262.0,103.125,8897.051
110,1,100000,171342.0,93.125,9085.985
110,1,100000,171842.0,109.375,8465.044
111,1,100000,168982.0,97.5,9700.411
112,1,100000,169401.5,96.875,8600.339
113,1,100000,169502.0,95.016,8124.521
114,1,100000,169762.0,105.0,8795.064
114,1,100000,170522.0,95.625,7409.023
115,1,100000,169542.0,95.625,9514.975
116,1,100000,170902.0,95.625,7992.777
117,1,100000,171742.0,100.0,8672.068
118,1,100000,170422.0,99.375,9381.441
118,1,100000,172062.0,95.625,6074.074
119,1,100000,172322.0,171.266,6588.184
120,1,100000,171581.5,95.016,6979.578
121,1,100000,167922.0,102.516,6767.142
122,1,100000,167322.0,158.125,6786.435
123,1,100000,172242.0,102.5,7513.223
123,1,100000,172122.0,98.125,6835.708
124,1,100000,171262.0,100.0,9400.659
125,1,100000,171542.0,109.375,7630.58
126,1,100000,169842.0,99.375,8035.113
127,1,100000,167242.0,98.75,6413.224
128,1,100000,171862.0,106.25,7448.327
129,1,100000,167642.0,100.0,9522.777
130,1,100000,167722.0,101.875,12255.541
130,1,100000,170501.5,110.625,9598.15
131,1,100000,172962.0,110.0,9912.07
132,1,100000,171841.5,108.75,8416.923
133,1,100000,172422.0,106.875,8949.883
134,1,100000,167002.0,111.25,7248.649
135,1,100000,167742.0,101.875,11442.109
136,1,100000,170422.0,118.75,6888.994
137,1,100000,170342.0,120.0,7237.797
138,1,100000,171902.0,110.0,7672.183
139,1,100000,167642.0,108.125,5982.159
140,1,100000,172002.0,114.375,7252.518
141,1,100000,172302.0,168.75,9731.768
142,1,100000,172022.0,110.625,7212.769
143,1,100000,173142.0,111.25,8004.979
144,1,100000,171002.0,108.125,7673.387
145,1,100000,173582.0,113.75,7994.069
146,1,100000,169642.0,109.375,21381.237
147,1,100000,171622.0,111.891,7922.891
148,1,100000,173282.0,108.75,10920.616
149,1,100000,171202.0,113.75,9289.874
150,1,100000,167222.0,104.375,8210.828
151,1,100000,172102.0,113.75,8682.725
152,1,100000,167262.0,106.25,8596.386
153,1,100000,170282.0,104.391,9192.478
154,1,100000,173042.0,107.5,7710.185
155,1,100000,171641.5,115.0,9720.018
156,1,100000,171462.0,105.625,9651.742
157,1,100000,172742.0,103.125,7451.877
158,1,100000,173142.0,106.266,8747.056
159,1,100000,170762.0,93.75,8733.241
161,1,100000,172402.0,96.25,6037.136
162,1,100000,171342.0,90.625,8066.74
163,1,100000,170542.0,96.25,7384.983
164,1,100000,168162.0,91.25,8604.422
165,1,100000,171021.0,92.5,10022.98
166,1,100000,169781.5,94.375,7260.794
167,1,100000,168682.0,96.25,7762.67
169,1,100000,171802.0,101.891,7644.455
170,1,100000,171262.0,94.375,7412.974
171,1,100000,171262.0,81.25,9191.933
172,1,100000,173621.5,86.25,7090.71
173,1,100000,171902.0,86.891,9187.966
174,1,100000,167802.0,89.375,5595.741
176,1,100000,167462.0,85.0,6989.827
177,1,100000,167461.5,82.5,6809.582
178,1,100000,167162.0,85.625,7938.152
179,1,100000,167381.5,89.375,7867.366
181,1,100000,167782.0,90.625,7131.657
182,1,100000,167202.0,91.25,7596.551
183,1,100000,172302.0,93.75,7541.343
184,1,100000,167922.0,86.875,10966.175
186,1,100000,168422.0,92.5,18139.553
187,1,100000,173422.0,98.75,8192.134
188,1,100000,172182.0,95.625,8106.321
190,1,100000,167722.0,95.625,7240.864
191,1,100000,172662.0,98.125,11591.146
192,1,100000,169781.5,101.25,7182.576
194,1,100000,167901.5,89.375,8442.964
195,1,100000,171222.0,101.875,9552.319
196,1,100000,169301.5,84.375,10774.396
198,1,100000,167582.0,91.25,10940.099
199,1,100000,167602.0,90.625,10236.525
200,1,100000,172022.0,91.875,7428.321
202,1,100000,171842.0,84.375,8912.524
203,1,100000,171682.0,87.5,7773.185
205,1,100000,171782.0,89.391,7563.368
206,1,100000,172942.0,105.0,7990.008
207,1,100000,167721.5,97.516,9464.469
209,1,100000,168402.0,95.625,8566.239
210,1,100000,173682.0,177.5,9002.149
212,1,100000,172681.5,102.5,8157.652
213,1,100000,170942.0,87.5,9912.199
215,1,100000,171002.0,95.0,7981.895
216,1,100000,169082.0,91.25,6344.813
218,1,100000,170941.5,95.0,9132.37
219,1,100000,170802.0,90.625,9091.664
221,1,100000,173762.0,101.25,9475.17
222,1,100000,171822.0,105.0,8365.061
224,1,100000,173542.0,94.375,7914.459
225,1,100000,173362.0,100.0,7467.573
227,1,100000,170382.0,106.875,9938.023
229,1,100000,173622.0,106.25,8340.751
230,1,100000,171861.5,100.641,7887.579
232,1,100000,174141.5,118.766,6278.526
233,1,100000,174842.0,106.875,8613.715
235,1,100000,170722.0,108.75,7768.03
237,1,100000,172402.0,101.25,7598.163
238,1,100000,168582.0,98.125,6185.686
240,1,100000,168042.0,86.875,8954.312
242,1,100000,167762.0,84.375,7846.295
243,1,100000,167722.0,81.891,9145.126
245,1,100000,167961.5,75.0,7328.678
247,1,100000,167641.5,78.125,8033.942
248,1,100000,167861.5,78.125,6203.968
250,1,100000,167722.0,78.125,7979.626
252,1,100000,167601.0,78.75,6951.153
254,1,100000,167642.0,83.766,7688.16
255,1,100000,167702.0,78.75,7465.326
