size,min_val,max_val,time,resolution,stdev
10000,10,10,61800.5,87.5,4049.588
10000,10,10,61880.5,152.5,2552.696
10000,10,10,61960.0,83.75,5426.829
10000,10,10,61981.0,85.625,4213.211
10000,10,10,61840.5,94.375,3501.327
10000,10,10,61841.0,82.5,3167.643
10000,10,10,61801.0,83.125,4050.955
10000,10,10,62000.5,87.5,4189.817
10000,10,10,61780.5,90.0,4843.1
10000,10,11,42140.5,84.375,823.498
10000,10,11,42360.0,89.375,3313.542
10000,10,11,42141.0,88.75,7381.107
10000,10,11,42120.0,90.641,2885.074
10000,10,11,42320.5,86.25,2781.592
10000,10,11,42280.5,96.875,3673.059
10000,10,11,41820.5,102.5,1943.153
10000,10,12,36440.0,92.5,722.584
10000,10,12,36480.0,88.125,3664.914
10000,10,12,36461.0,106.875,691.935
10000,10,12,36400.5,86.875,4710.43
10000,10,12,36481.0,85.625,573.7
10000,10,12,36520.5,87.5,3856.049
10000,10,12,36580.5,83.75,4667.962
10000,10,13,32440.5,86.25,5057.065
10000,10,13,32500.0,93.125,3622.736
10000,10,13,32160.0,84.375,3332.831
10000,10,13,32480.0,87.5,4988.345
10000,10,13,32340.5,88.75,3769.425
10000,10,13,32360.5,95.625,4681.2
10000,10,13,32360.0,90.625,1790.35
10000,10,14,29081.0,96.25,1187.482
10000,10,14,29280.0,90.0,3562.965
10000,10,14,29420.5,85.625,3184.022
10000,10,14,29240.5,95.625,2601.386
10000,10,14,29120.0,92.5,1111.293
10000,10,14,29241.0,85.0,1028.572
10000,10,15,27000.0,85.0,2997.616
10000,10,15,27060.5,92.5,3632.643
10000,10,15,27060.0,88.75,4425.944
10000,10,15,27160.0,92.5,4010.311
10000,10,15,27080.0,85.625,4882.2
10000,10,16,25320.0,87.5,3013.283
10000,10,16,25480.5,92.5,1098.217
10000,10,16,25440.0,90.0,4391.333
10000,10,16,25360.5,101.25,1132.226
10000,10,16,25320.5,89.375,1037.726
10000,10,16,25500.0,89.375,1295.416
10000,10,17,24280.0,84.375,901.99
10000,10,17,24180.5,92.5,3814.236
10000,10,17,24200.5,87.5,3585.356
10000,10,17,24300.5,96.25,3809.758
10000,10,17,24320.0,88.141,3300.638
10000,10,18,23540.0,89.375,1769.87
10000,10,18,23441.0,94.375,1375.653
10000,10,18,23520.0,90.625,1874.098
10000,10,18,23520.5,92.5,1578.154
10000,10,19,22920.0,93.75,1197.894
10000,10,19,22760.5,98.125,1230.038
10000,10,19,22840.5,96.25,1978.443
10000,10,19,22960.0,92.5,2508.053
10000,10,19,23000.0,93.75,2638.678
10000,10,20,22400.0,90.0,1008.799
10000,10,20,22360.0,88.125,801.301
10000,10,20,22240.0,90.625,866.063
10000,10,20,22600.0,88.75,4829.549
10000,10,21,21960.5,94.375,1202.514
10000,10,21,22000.0,92.5,1485.103
10000,10,21,21960.0,92.516,2612.212
10000,10,21,22080.0,93.75,2437.052
10000,10,22,21700.5,96.25,1076.269
10000,10,22,21760.0,88.75,3345.808
10000,10,22,21700.5,95.625,1333.886
10000,10,22,21700.5,88.125,4166.868
10000,10,23,21420.0,87.5,976.087
10000,10,23,21440.0,92.5,1749.256
10000,10,23,21500.5,90.0,1652.313
10000,10,23,21400.0,92.5,4612.381
10000,10,24,21220.5,92.5,1552.567
10000,10,24,21241.0,87.5,1229.576
10000,10,24,21260.5,86.25,1264.971
10000,10,25,20980.0,86.875,4586.791
10000,10,25,21000.0,98.75,763.944
